creation_time,start_time,city_code,courier_id,slot_id,kickout_reason,kickout_type,kickout_details
2024-03-10 20:10:52,2024-03-10 21:00:00,TIS,124486514,38170004,2,3,
2024-03-10 20:11:59,2024-03-10 21:00:00,TIS,124594243,38170005,4,1,10 min / Penalty
2024-03-10 20:11:58,2024-03-10 21:00:00,TIS,127349481,38170005,4,1,10 min / Penalty
2024-03-10 20:12:00,2024-03-10 21:00:00,TIS,130838473,38170005,4,1,10 min / Penalty
2024-03-10 20:11:59,2024-03-10 21:00:00,TIS,135560678,38170005,4,1,10 min / Penalty
2024-03-10 20:11:58,2024-03-10 21:00:00,TIS,137739894,38170005,4,1,10 min / Penalty
2024-03-10 20:00:34,2024-03-10 21:00:00,TIS,139727782,38170005,2,3,
2024-03-10 20:12:00,2024-03-10 21:00:00,TIS,148936605,38170005,4,1,10 min / Penalty
2024-03-10 20:12:00,2024-03-10 21:00:00,TIS,149098590,38170005,4,1,10 min / Penalty
2024-03-10 20:30:03,2024-03-10 21:00:00,TIS,150064178,38170005,2,3,
2024-03-10 20:11:58,2024-03-10 21:00:00,TIS,150064243,38170005,4,1,10 min / Penalty
2024-03-10 20:11:59,2024-03-10 21:00:00,TIS,150812307,38170005,4,1,10 min / Penalty
2024-03-10 20:26:28,2024-03-10 21:00:00,TIS,150833579,38170004,2,3,
2024-03-10 20:12:00,2024-03-10 21:00:00,TIS,150833701,38170004,4,1,10 min / Penalty
2024-03-10 20:12:00,2024-03-10 21:00:00,TIS,150833729,38170004,4,1,10 min / Penalty
2024-03-10 20:00:07,2024-03-10 21:00:00,TIS,150833772,38170004,2,3,
2024-03-10 20:11:58,2024-03-10 21:00:00,TIS,150833782,38170004,4,1,10 min / Penalty
2024-03-10 20:11:58,2024-03-10 21:00:00,TIS,150833839,38170005,4,1,10 min / Penalty
2024-03-10 20:11:59,2024-03-10 21:00:00,TIS,150833875,38170004,4,1,10 min / Penalty
2024-03-10 20:12:00,2024-03-10 21:00:00,TIS,150833912,38170004,4,1,10 min / Penalty
2024-03-10 20:12:00,2024-03-10 21:00:00,TIS,150833970,38170003,4,1,10 min / Penalty
2024-03-10 20:40:48,2024-03-10 21:00:00,TIS,151024090,38170004,2,3,
2024-03-10 20:01:46,2024-03-10 21:00:00,TIS,151259503,38170005,2,3,
2024-03-10 20:11:59,2024-03-10 21:00:00,TIS,151325960,38170005,4,1,10 min / Penalty
2024-03-10 20:24:35,2024-03-10 21:00:00,TIS,151341162,38170004,2,3,
2024-03-10 20:11:59,2024-03-10 21:00:00,TIS,151342392,38170004,4,1,10 min / Penalty
2024-03-10 20:11:59,2024-03-10 21:00:00,TIS,151783931,38170005,4,1,10 min / Penalty
2024-03-10 20:11:58,2024-03-10 21:00:00,TIS,152248914,38170005,4,1,10 min / Penalty
2024-03-10 20:12:00,2024-03-10 21:00:00,TIS,152755288,38170003,4,1,10 min / Penalty
2024-03-10 20:12:00,2024-03-10 21:00:00,TIS,154113491,38170004,4,1,10 min / Penalty
2024-03-10 20:00:31,2024-03-10 21:00:00,TIS,154951077,38170004,2,3,
2024-03-10 20:00:49,2024-03-10 21:00:00,TIS,154952269,38170004,2,3,
2024-03-10 20:11:58,2024-03-10 21:00:00,TIS,157558049,38170005,4,1,10 min / Penalty
2024-03-10 20:17:09,2024-03-10 21:00:00,SOU,157795340,38160326,4,1,15 min / Penalty
2024-03-10 20:17:09,2024-03-10 21:00:00,SOU,159412102,38160327,4,1,15 min / Penalty
2024-03-10 20:11:58,2024-03-10 21:00:00,TIS,160293001,38170005,4,1,10 min / Penalty
2024-03-10 20:30:41,2024-03-10 21:00:00,TIS,160298575,38170004,2,3,
2024-03-10 20:17:09,2024-03-10 21:00:00,SOU,161115227,38160326,4,1,15 min / Penalty
