,courier_id,p_aggregation_date_date,n_slots_booked,n_slots_checked_in,num_assignments,num_orders
0,139727782,2024-03-13,2,2,0,0
1,150833899,2024-03-13,2,2,0,0
2,151259503,2024-03-13,5,4,0,0
3,166391291,2024-03-13,2,2,0,0
4,166389459,2024-03-13,3,3,0,0
5,153694513,2024-03-13,6,4,0,0
6,163030546,2024-03-13,4,3,0,0
7,163968277,2024-03-13,7,7,0,0
8,166088289,2024-03-13,6,6,0,0
9,160294624,2024-03-13,3,2,0,0
10,161271308,2024-03-13,2,2,0,0
11,153683137,2024-03-13,3,2,0,0
12,164820635,2024-03-14,4,4,0,0
13,163410642,2024-03-14,3,3,0,0
14,166044697,2024-03-14,4,3,0,0
15,162520854,2024-03-14,5,5,0,0
16,153694513,2024-03-14,6,4,0,0
17,161270330,2024-03-14,3,2,0,0
18,102320533,2024-03-14,3,2,0,0
19,153278451,2024-03-14,3,3,0,0
20,149096520,2024-03-14,5,5,0,0
21,166090441,2024-03-14,6,4,0,0
22,135227968,2024-03-14,2,2,0,0
23,162920235,2024-03-14,3,3,0,0
24,150833878,2024-03-14,5,4,0,0
25,163360772,2024-03-14,2,2,0,0
26,151259503,2024-03-14,6,4,0,0
27,150833968,2024-03-14,6,6,0,0
28,163030546,2024-03-14,3,2,0,0
29,152755288,2024-03-14,3,3,0,0
30,161348828,2024-03-14,5,5,0,0
31,164368399,2024-03-15,2,2,0,0
32,164239847,2024-03-15,3,3,0,0
33,150833899,2024-03-15,2,2,0,0
34,151259503,2024-03-15,6,6,0,0
35,162920235,2024-03-15,5,3,0,0
36,160293001,2024-03-15,2,2,0,0
37,163360641,2024-03-15,4,3,0,0
38,159544057,2024-03-15,4,4,0,0
39,153694513,2024-03-15,11,7,0,0
40,156403730,2024-03-15,7,7,0,0
41,149580214,2024-03-15,4,4,0,0
42,150833902,2024-03-15,2,2,0,0
43,161348828,2024-03-15,7,6,0,0
44,145475476,2024-03-16,7,6,0,0
45,158496885,2024-03-16,8,8,0,0
46,166087774,2024-03-16,2,2,0,0
47,150833839,2024-03-16,4,3,0,0
48,137739948,2024-03-16,4,4,0,0
49,152756426,2024-03-16,5,5,0,0
50,166504978,2024-03-16,4,3,0,0
51,134374111,2024-03-16,3,3,0,0
52,166158496,2024-03-16,4,4,0,0
53,163410601,2024-03-16,2,2,0,0
54,157892546,2024-03-16,3,3,0,0
55,166044697,2024-03-16,3,2,0,0
56,157953079,2024-03-16,4,4,0,0
57,153694513,2024-03-16,7,7,0,0
58,127349481,2024-03-16,3,3,0,0
59,149096520,2024-03-17,3,3,0,0
60,154951077,2024-03-17,2,2,0,0
61,150833878,2024-03-17,3,3,0,0
62,142983419,2024-03-17,6,3,0,0
63,153694513,2024-03-17,5,3,0,0
64,157408460,2024-03-17,2,2,0,0
65,139217475,2024-03-17,8,6,0,0
66,163413685,2024-03-17,3,2,0,0
67,166044697,2024-03-17,6,5,0,0
68,166089308,2024-03-18,8,4,0,0
69,163031004,2024-03-18,6,6,0,0
