,last_movement_date,courier_id,action,reason
0,2024-05-21,168484744,BLOCK,LATE_UNBOOKINGS
1,2024-06-03,167777329,BLOCK,LATE_UNBOOKINGS
2,2024-05-21,167728803,BLOCK,COURIER_NOT_MOVING
3,2024-06-04,161061807,BLOCK,COURIER_NOT_MOVING
4,2024-05-28,157892256,BLOCK,COURIER_NOT_MOVING
5,2024-05-21,168007820,BLOCK,COURIER_NOT_MOVING
6,2024-06-06,166389994,BLOCK,NO_SHOWS
7,2024-05-25,168892320,BLOCK,REASSIGNMENTS
8,2024-05-14,167806973,BLOCK,NO_SHOWS
9,2024-05-31,168484489,BLOCK,NO_SHOWS
10,2024-05-14,167721492,BLOCK,LATE_UNBOOKINGS
11,2024-06-04,163030546,BLOCK,NO_SHOWS
12,2024-05-19,161911950,BLOCK,NO_SHOWS
13,2024-05-21,153278451,BLOCK,NO_SHOWS
14,2024-05-28,161224272,BLOCK,COURIER_NOT_MOVING
15,2024-05-31,163363890,BLOCK,REASSIGNMENTS
16,2024-05-28,150833893,BLOCK,COURIER_NOT_MOVING
17,2024-05-14,150833846,BLOCK,LATE_UNBOOKINGS
18,2024-05-28,166136653,BLOCK,COURIER_NOT_MOVING
19,2024-06-03,168397128,BLOCK,NO_SHOWS
20,2024-05-21,168185208,BLOCK,LATE_UNBOOKINGS
21,2024-05-19,166390540,BLOCK,REASSIGNMENTS
22,2024-05-28,161911950,BLOCK,NO_SHOWS
23,2024-05-26,167812600,BLOCK,LATE_UNBOOKINGS
24,2024-05-14,153694513,BLOCK,NO_SHOWS
25,2024-05-16,168015391,BLOCK,NO_SHOWS
26,2024-05-14,168484744,BLOCK,LATE_UNBOOKINGS
27,2024-06-03,164365732,BLOCK,COURIER_NOT_MOVING
28,2024-05-21,160297030,BLOCK,COURIER_NOT_MOVING
29,2024-05-19,166391094,BLOCK,LATE_UNBOOKINGS
30,2024-05-21,161224272,BLOCK,COURIER_NOT_MOVING
31,2024-05-21,166436091,BLOCK,COURIER_NOT_MOVING
32,2024-05-14,167764387,BLOCK,LATE_UNBOOKINGS
33,2024-06-04,157412603,BLOCK,COURIER_NOT_MOVING
34,2024-05-30,164819745,BLOCK,COURIER_NOT_MOVING
35,2024-05-21,167805981,BLOCK,LATE_UNBOOKINGS
36,2024-05-27,168203960,BLOCK,COURIER_NOT_MOVING
37,2024-05-31,167805972,BLOCK,NO_SHOWS
38,2024-05-16,167855592,BLOCK,NO_SHOWS
39,2024-05-21,163363890,BLOCK,REASSIGNMENTS
40,2024-06-01,164816149,BLOCK,NO_SHOWS
41,2024-05-21,163030418,BLOCK,LATE_UNBOOKINGS
42,2024-05-25,159523840,BLOCK,LATE_UNBOOKINGS
43,2024-05-29,166391094,BLOCK,LATE_UNBOOKINGS
44,2024-06-03,167851224,BLOCK,LATE_UNBOOKINGS
45,2024-05-16,167805972,BLOCK,NO_SHOWS
46,2024-06-04,151382562,BLOCK,COURIER_NOT_MOVING
47,2024-05-14,163363890,BLOCK,REASSIGNMENTS
48,2024-06-05,169560493,BLOCK,LATE_UNBOOKINGS
49,2024-05-21,157412603,BLOCK,COURIER_NOT_MOVING
50,2024-06-06,166433890,BLOCK,NO_SHOWS
51,2024-05-28,157412603,BLOCK,COURIER_NOT_MOVING
52,2024-05-21,167855599,BLOCK,COURIER_NOT_MOVING
53,2024-05-25,164818826,BLOCK,COURIER_NOT_MOVING
54,2024-05-21,166136653,BLOCK,COURIER_NOT_MOVING
55,2024-05-21,168003488,BLOCK,COURIER_NOT_MOVING
56,2024-05-14,168003479,BLOCK,LATE_UNBOOKINGS
57,2024-05-21,163919026,BLOCK,LATE_UNBOOKINGS
58,2024-05-21,167812606,BLOCK,COURIER_NOT_MOVING
59,2024-06-04,146724715,BLOCK,COURIER_NOT_MOVING
60,2024-05-21,166436322,BLOCK,COURIER_NOT_MOVING
61,2024-05-25,151253854,BLOCK,LATE_UNBOOKINGS
62,2024-06-04,161224272,BLOCK,COURIER_NOT_MOVING
63,2024-05-30,168003488,BLOCK,COURIER_NOT_MOVING
64,2024-05-26,167721496,BLOCK,COURIER_NOT_MOVING
65,2024-05-28,161122829,BLOCK,COURIER_NOT_MOVING
66,2024-05-25,165784947,BLOCK,NO_SHOWS
67,2024-06-01,168203965,BLOCK,NO_SHOWS
68,2024-05-30,167812606,BLOCK,COURIER_NOT_MOVING
69,2024-05-14,146723416,BLOCK,LATE_UNBOOKINGS
70,2024-06-01,167806973,BLOCK,NO_SHOWS
71,2024-05-25,150833656,BLOCK,LATE_UNBOOKINGS
72,2024-05-27,167962547,BLOCK,LATE_UNBOOKINGS
73,2024-05-14,167805969,BLOCK,LATE_UNBOOKINGS
74,2024-05-21,150833568,BLOCK,REASSIGNMENTS
75,2024-05-16,166190318,BLOCK,NO_SHOWS
76,2024-05-14,167475990,BLOCK,LATE_UNBOOKINGS
77,2024-05-21,163363171,BLOCK,LATE_UNBOOKINGS
78,2024-06-04,167721496,BLOCK,COURIER_NOT_MOVING
79,2024-05-21,164819486,BLOCK,COURIER_NOT_MOVING
80,2024-05-26,168016050,BLOCK,LATE_UNBOOKINGS
81,2024-05-14,150833914,BLOCK,LATE_UNBOOKINGS
82,2024-05-14,160293001,BLOCK,NO_SHOWS
83,2024-06-04,168203960,BLOCK,COURIER_NOT_MOVING
84,2024-05-14,124486514,BLOCK,LATE_UNBOOKINGS
85,2024-05-16,167806972,BLOCK,NO_SHOWS
86,2024-06-08,160585577,BLOCK,REASSIGNMENTS
87,2024-05-21,163039669,BLOCK,LATE_UNBOOKINGS
88,2024-06-04,166136653,BLOCK,COURIER_NOT_MOVING
89,2024-05-19,164820635,BLOCK,LATE_UNBOOKINGS
90,2024-05-31,127349481,BLOCK,LATE_UNBOOKINGS
91,2024-06-01,164818826,BLOCK,COURIER_NOT_MOVING
92,2024-05-19,151254300,BLOCK,LATE_UNBOOKINGS
93,2024-05-19,127349481,BLOCK,LATE_UNBOOKINGS
94,2024-05-21,165738741,BLOCK,COURIER_NOT_MOVING
95,2024-05-14,166192941,BLOCK,LATE_UNBOOKINGS
96,2024-05-25,165738709,BLOCK,NO_SHOWS
97,2024-05-14,168010449,BLOCK,NO_SHOWS
98,2024-05-21,163032676,BLOCK,LATE_UNBOOKINGS
99,2024-05-29,146724715,BLOCK,COURIER_NOT_MOVING
100,2024-05-30,168010187,BLOCK,NO_SHOWS
101,2024-05-27,167777316,BLOCK,COURIER_NOT_MOVING
102,2024-05-21,168010852,BLOCK,COURIER_NOT_MOVING
103,2024-05-14,168003502,BLOCK,LATE_UNBOOKINGS
104,2024-05-21,168489811,BLOCK,NO_SHOWS
