,courier_id,check_in_time,location_time,fraud_timing,position_latitude,position_longitude,prev_location_time,seconds_time,dist_km,speed_kph
0,150833654,2024-03-01 10:02:05.137000+00:00,2024-03-01 10:26:59.936000+00:00,after_check_in,36.7429639,10.2393343,2024-03-01 10:26:48.346000+00:00,11.59,0.69,215.86
1,166088330,2024-03-01 11:49:12.754000+00:00,2024-03-01 11:48:42.827000+00:00,before_check_in,36.8850041,10.1839014,2024-03-01 11:48:22.540000+00:00,20.287,1.15,204.23
2,161155609,2024-03-01 12:47:47.963000+00:00,2024-03-01 12:52:36.435000+00:00,after_check_in,36.7899009,10.185097,2024-03-01 12:52:25.396000+00:00,11.039,0.52,168.71
3,161155609,2024-03-01 12:47:47.963000+00:00,2024-03-01 13:02:07.179000+00:00,after_check_in,36.8043266,10.1970248,2024-03-01 13:01:48.494000+00:00,18.685,0.91,174.88
4,157892546,2024-03-01 18:46:57.228000+00:00,2024-03-01 18:47:15.757000+00:00,after_check_in,36.8584585,10.1660735,2024-03-01 18:46:51.970000+00:00,23.787,1.14,172.58
5,157892546,2024-03-01 18:46:57.228000+00:00,2024-03-01 18:56:05.922000+00:00,after_check_in,36.8611264,10.159349,2024-03-01 18:55:53.462000+00:00,12.46,0.67,192.94
6,165739342,2024-03-01 19:18:29.559000+00:00,2024-03-01 19:26:33.010000+00:00,after_check_in,36.8644462,10.3071217,2024-03-01 19:25:52.763000+00:00,40.247,1.87,167.15
7,165739342,2024-03-01 19:18:29.559000+00:00,2024-03-01 19:27:42.998000+00:00,after_check_in,36.8643609,10.284026,2024-03-01 19:27:22.899000+00:00,20.099,2.05,368.02
8,165739342,2024-03-01 19:18:29.559000+00:00,2024-03-01 19:31:03.904000+00:00,after_check_in,36.8570866,10.2921396,2024-03-01 19:30:43.756000+00:00,20.148,1.26,225.68
9,165739342,2024-03-01 19:18:29.559000+00:00,2024-03-01 19:32:43.953000+00:00,after_check_in,36.8641995,10.3018287,2024-03-01 19:32:23.978000+00:00,19.975,1.17,210.83
10,151330180,2024-03-03 09:02:42.954000+00:00,2024-03-03 09:02:16.980000+00:00,before_check_in,36.8212159,10.1361915,2024-03-03 09:01:58.764000+00:00,18.216,0.89,176.39
11,151330180,2024-03-03 09:02:42.954000+00:00,2024-03-03 09:06:36.544000+00:00,after_check_in,36.8412119,10.1708509,2024-03-03 09:06:25.320000+00:00,11.224,2.29,732.91
12,151330180,2024-03-03 09:02:42.954000+00:00,2024-03-03 09:07:50.728000+00:00,after_check_in,36.8459901,10.1617471,2024-03-03 09:07:39.752000+00:00,10.976,0.77,251.16
13,151330180,2024-03-03 09:02:42.954000+00:00,2024-03-03 09:18:47.055000+00:00,after_check_in,36.8623348,10.1768039,2024-03-03 09:18:23.306000+00:00,23.749,1.09,164.71
14,151330180,2024-03-03 09:02:42.954000+00:00,2024-03-03 10:01:45.230000+00:00,after_check_in,36.8666097,10.1976845,2024-03-03 10:01:45.229000+00:00,0.001,0.24,inf
15,152755288,2024-03-04 09:56:31.675000+00:00,2024-03-04 09:47:32.779000+00:00,before_check_in,36.8211402,10.1885383,2024-03-04 09:47:12.981000+00:00,19.798,1.33,241.9
16,152755288,2024-03-04 09:56:31.675000+00:00,2024-03-04 09:49:33.038000+00:00,before_check_in,36.8290512,10.2001164,2024-03-04 09:49:22.853000+00:00,10.185,0.46,163.94
17,152755288,2024-03-04 09:56:31.675000+00:00,2024-03-04 10:30:05.877000+00:00,after_check_in,36.8417509,10.2482626,2024-03-04 10:29:54.128000+00:00,11.749,1.45,444.32
18,145512035,2024-03-04 16:09:50.586000+00:00,2024-03-04 16:06:22.984000+00:00,before_check_in,36.8535011,10.1342198,2024-03-04 16:06:02.623000+00:00,20.361,0.98,172.94
19,166158164,2024-03-04 16:45:25.086000+00:00,2024-03-04 16:47:11.627000+00:00,after_check_in,36.8679717,10.183715,2024-03-04 16:47:00.580000+00:00,11.047,0.57,185.52
20,166158164,2024-03-04 16:45:25.086000+00:00,2024-03-04 16:49:48.464000+00:00,after_check_in,36.8648148,10.1762419,2024-03-04 16:49:33.357000+00:00,15.107,0.66,157.77
21,166195564,2024-03-05 11:00:27.723000+00:00,2024-03-05 11:00:37.423000+00:00,after_check_in,36.8434188,10.1650978,2024-03-05 11:00:23.541000+00:00,13.882,5.08,1317.48
22,162589701,2024-03-05 11:49:41.326000+00:00,2024-03-05 12:44:11.029000+00:00,after_check_in,36.8555354,10.1541898,2024-03-05 12:43:49.743000+00:00,21.286,0.91,154.62
23,166089308,2024-03-05 12:59:56.259000+00:00,2024-03-05 12:52:46.134000+00:00,before_check_in,36.7898129,10.191513,2024-03-05 12:52:26.284000+00:00,19.85,2.08,376.86
24,166089308,2024-03-05 12:59:56.259000+00:00,2024-03-05 12:53:06.253000+00:00,before_check_in,36.7785985,10.1964988,2024-03-05 12:52:46.134000+00:00,20.119,1.32,236.84
25,166089308,2024-03-05 12:59:56.259000+00:00,2024-03-05 12:55:46.355000+00:00,before_check_in,36.7878745,10.1908125,2024-03-05 12:55:26.272000+00:00,20.083,0.94,168.62
26,166089308,2024-03-05 12:59:56.259000+00:00,2024-03-05 12:59:16.728000+00:00,before_check_in,36.8312724,10.1782662,2024-03-05 12:58:56.718000+00:00,20.01,2.77,498.17
27,166089308,2024-03-05 12:59:56.259000+00:00,2024-03-05 12:59:27.039000+00:00,before_check_in,36.8094375,10.183731,2024-03-05 12:59:16.728000+00:00,10.311,2.48,864.59
28,166089308,2024-03-05 12:59:56.259000+00:00,2024-03-05 13:00:06.214000+00:00,after_check_in,36.8312459,10.1780986,2024-03-05 12:59:47.100000+00:00,19.114,2.39,450.41
29,166089308,2024-03-05 12:59:56.259000+00:00,2024-03-05 13:00:26.941000+00:00,after_check_in,36.8143993,10.1922135,2024-03-05 13:00:06.214000+00:00,20.727,2.26,391.73
30,153277287,2024-03-05 15:38:17.193000+00:00,2024-03-05 15:44:35.710000+00:00,after_check_in,36.8568748,10.2812566,2024-03-05 15:44:35.710000+00:00,0.0,0.42,inf
31,153277287,2024-03-05 15:38:17.193000+00:00,2024-03-05 15:44:49.879000+00:00,after_check_in,36.8605758,10.2894327,2024-03-05 15:44:35.711000+00:00,14.168,0.84,212.25
32,153277287,2024-03-05 15:38:17.193000+00:00,2024-03-05 15:50:30.192000+00:00,after_check_in,36.8661317,10.2949631,2024-03-05 15:50:30.191000+00:00,0.001,0.48,inf
33,153277287,2024-03-05 15:38:17.193000+00:00,2024-03-05 15:50:30.194000+00:00,after_check_in,36.8644252,10.2993272,2024-03-05 15:50:30.192000+00:00,0.002,0.43,432127.19
34,153277287,2024-03-05 15:38:17.193000+00:00,2024-03-05 15:50:41.714000+00:00,after_check_in,36.870437,10.3113109,2024-03-05 15:50:30.194000+00:00,11.52,1.26,393.22
35,153277287,2024-03-05 15:38:17.193000+00:00,2024-03-05 16:08:20.387000+00:00,after_check_in,36.8669726,10.3050722,2024-03-05 16:08:01.371000+00:00,19.016,0.81,152.94
36,163354290,2024-03-05 17:05:58.623000+00:00,2024-03-05 17:05:54.902000+00:00,before_check_in,36.8545226,10.1592963,2024-03-05 17:05:35.224000+00:00,19.678,0.92,167.73
37,163354290,2024-03-05 17:05:58.623000+00:00,2024-03-05 17:06:16.062000+00:00,after_check_in,36.8550237,10.147022,2024-03-05 17:05:54.902000+00:00,21.16,1.09,186.03
38,163354290,2024-03-05 17:05:58.623000+00:00,2024-03-05 17:07:07.515000+00:00,after_check_in,36.8585799,10.1662989,2024-03-05 17:06:56.143000+00:00,11.372,1.77,560.75
39,166433894,2024-03-07 16:38:18.129000+00:00,2024-03-07 16:35:51.167000+00:00,before_check_in,36.7620011,10.2554739,2024-03-07 16:35:40.994000+00:00,10.173,1.08,380.42
40,166433894,2024-03-07 16:38:18.129000+00:00,2024-03-07 17:18:15.170000+00:00,after_check_in,36.7673306,10.2593104,2024-03-07 17:18:02.921000+00:00,12.249,1.14,335.35
41,151325879,2024-03-07 19:35:28.776000+00:00,2024-03-07 19:55:45.624000+00:00,after_check_in,36.8749576,10.2953894,2024-03-07 19:55:25.575000+00:00,20.049,0.99,177.24
42,151325879,2024-03-07 19:35:28.776000+00:00,2024-03-07 19:56:35.614000+00:00,after_check_in,36.8786526,10.2852993,2024-03-07 19:56:15.694000+00:00,19.92,0.99,178.41
43,163361229,2024-03-01 09:35:42.922000+00:00,2024-03-01 10:21:58.728000+00:00,after_check_in,36.8477457,10.1596895,2024-03-01 10:21:38.889000+00:00,19.839,0.86,155.17
44,152400996,2024-03-01 11:44:48.836000+00:00,2024-03-01 12:20:02.160000+00:00,after_check_in,36.8530492,10.1277938,2024-03-01 12:19:51.943000+00:00,10.217,0.44,154.23
45,151382562,2024-03-01 17:39:11.462000+00:00,2024-03-01 18:22:17.145000+00:00,after_check_in,36.8373294,10.3019047,2024-03-01 18:21:57.427000+00:00,19.718,1.29,235.05
46,151382562,2024-03-01 17:39:11.462000+00:00,2024-03-01 18:27:50.069000+00:00,after_check_in,36.8444777,10.284005,2024-03-01 18:27:39.952000+00:00,10.117,1.16,413.02
47,142821379,2024-03-02 09:38:03.298000+00:00,2024-03-02 09:28:26.136000+00:00,before_check_in,36.7467622,10.2251829,2024-03-02 09:28:09.586000+00:00,16.55,6.09,1325.05
48,142821379,2024-03-02 09:38:03.298000+00:00,2024-03-02 09:28:39.549000+00:00,before_check_in,36.7817477,10.2778012,2024-03-02 09:28:26.136000+00:00,13.413,6.09,1634.8
49,142821379,2024-03-02 09:38:03.298000+00:00,2024-03-02 09:28:56.279000+00:00,before_check_in,36.7468996,10.2253944,2024-03-02 09:28:39.549000+00:00,16.73,6.07,1305.57
50,142821379,2024-03-02 09:38:03.298000+00:00,2024-03-02 09:29:19.521000+00:00,before_check_in,36.7817477,10.2778012,2024-03-02 09:29:07.130000+00:00,12.391,6.07,1763.69
51,142821379,2024-03-02 09:38:03.298000+00:00,2024-03-02 09:29:37.146000+00:00,before_check_in,36.7465261,10.2256384,2024-03-02 09:29:19.521000+00:00,17.625,6.08,1241.21
52,142821379,2024-03-02 09:38:03.298000+00:00,2024-03-02 09:40:15.607000+00:00,after_check_in,36.781747,10.2777913,2024-03-02 09:38:21.423000+00:00,114.184,6.08,191.83
53,160287600,2024-03-02 14:47:38.387000+00:00,2024-03-02 15:34:11.883000+00:00,after_check_in,36.8492817,10.2632882,2024-03-02 15:33:51.800000+00:00,20.083,0.98,174.92
54,160287600,2024-03-02 14:47:38.387000+00:00,2024-03-02 15:34:31.955000+00:00,after_check_in,36.8533922,10.2720067,2024-03-02 15:34:11.883000+00:00,20.072,0.9,161.48
55,161766344,2024-03-02 15:46:25.087000+00:00,2024-03-02 15:41:00.406000+00:00,before_check_in,36.8774928,10.320878,2024-03-02 15:40:46.860000+00:00,13.546,2.7,717.88
56,162429075,2024-03-02 22:50:33.602000+00:00,2024-03-02 22:44:37.897000+00:00,before_check_in,36.8561918,10.1680224,2024-03-02 22:44:25.474000+00:00,12.423,2.37,686.73
57,163410640,2024-03-03 12:02:52.264000+00:00,2024-03-03 12:01:41.580000+00:00,before_check_in,36.7620217,10.2554218,2024-03-03 12:01:21.528000+00:00,20.052,0.95,170.89
58,155231407,2024-03-04 09:50:25.285000+00:00,2024-03-04 09:57:05.039000+00:00,after_check_in,36.8092163,10.1273728,2024-03-04 09:56:45.780000+00:00,19.259,0.97,181.69
59,161228625,2024-03-04 10:48:41.863000+00:00,2024-03-04 11:23:56.420000+00:00,after_check_in,36.8661211,10.1844618,2024-03-04 11:23:56.419000+00:00,0.001,0.25,inf
60,161228625,2024-03-04 10:48:41.863000+00:00,2024-03-04 11:26:05.720000+00:00,after_check_in,36.8633646,10.1862913,2024-03-04 11:26:05.720000+00:00,0.0,0.36,inf
61,161228625,2024-03-04 10:48:41.863000+00:00,2024-03-04 11:26:05.721000+00:00,after_check_in,36.8594347,10.1880697,2024-03-04 11:26:05.720000+00:00,0.001,0.46,inf
62,161228625,2024-03-04 10:48:41.863000+00:00,2024-03-04 11:26:05.721000+00:00,after_check_in,36.8646994,10.1854959,2024-03-04 11:26:05.721000+00:00,0.0,0.63,inf
63,161228625,2024-03-04 10:48:41.863000+00:00,2024-03-04 11:26:20.153000+00:00,after_check_in,36.8581131,10.1840654,2024-03-04 11:26:05.721000+00:00,14.432,0.74,185.42
64,161228625,2024-03-04 10:48:41.863000+00:00,2024-03-04 11:42:38.470000+00:00,after_check_in,36.8591565,10.1649319,2024-03-04 11:42:38.468000+00:00,0.002,0.29,292783.32
65,163360772,2024-03-04 17:45:48.206000+00:00,2024-03-04 17:54:06.544000+00:00,after_check_in,36.8683418,10.3236628,2024-03-04 17:53:46.389000+00:00,20.155,0.85,151.84
66,162429128,2024-03-05 09:47:50.043000+00:00,2024-03-05 09:47:04.118000+00:00,before_check_in,36.8526233,10.1169485,2024-03-05 09:46:44.717000+00:00,19.401,1.15,214.13
67,165785024,2024-03-05 16:53:19.927000+00:00,2024-03-05 17:10:18.291000+00:00,after_check_in,36.8547587,10.1496198,2024-03-05 17:10:07.367000+00:00,10.924,0.49,161.04
68,165738741,2024-03-06 09:58:18.084000+00:00,2024-03-06 09:58:29.685000+00:00,after_check_in,36.7192255,10.2216393,2024-03-06 09:58:11.895000+00:00,17.79,1.42,286.92
69,165738741,2024-03-06 09:58:18.084000+00:00,2024-03-06 10:46:42.609000+00:00,after_check_in,36.7073435,10.2318004,2024-03-06 10:46:22.647000+00:00,19.962,1.6,288.89
70,165738741,2024-03-06 09:58:18.084000+00:00,2024-03-06 10:47:03.132000+00:00,after_check_in,36.7192255,10.2216393,2024-03-06 10:46:42.609000+00:00,20.523,1.6,280.98
71,165738741,2024-03-06 09:58:18.084000+00:00,2024-03-06 10:50:22.210000+00:00,after_check_in,36.7157069,10.2294984,2024-03-06 10:50:03.527000+00:00,18.683,0.8,154.6
72,164368859,2024-03-07 11:06:00.533000+00:00,2024-03-07 11:06:00.808000+00:00,after_check_in,36.8759394,10.3080353,2024-03-07 11:05:46.432000+00:00,14.376,4.18,1047.57
73,166044697,2024-03-07 11:53:42.488000+00:00,2024-03-07 11:57:50.959000+00:00,after_check_in,36.9076267,10.1894301,2024-03-07 11:57:38.764000+00:00,12.195,0.86,253.56
74,166433890,2024-03-07 12:30:37.440000+00:00,2024-03-07 12:55:41.886000+00:00,after_check_in,36.860884,10.3215251,2024-03-07 12:55:27.521000+00:00,14.365,0.84,211.05
75,166433890,2024-03-07 12:30:37.440000+00:00,2024-03-07 12:57:17.087000+00:00,after_check_in,36.8517351,10.3164349,2024-03-07 12:57:01.100000+00:00,15.987,0.71,159.0
76,150833943,2024-03-07 17:42:10.026000+00:00,2024-03-07 17:32:30.767000+00:00,before_check_in,36.8474024,10.2578031,2024-03-07 17:32:17.903000+00:00,12.864,5.74,1605.93
77,150833943,2024-03-07 17:42:10.026000+00:00,2024-03-07 17:32:56.189000+00:00,before_check_in,36.8365022,10.3208281,2024-03-07 17:32:30.767000+00:00,25.422,5.74,812.51
78,150833943,2024-03-07 17:42:10.026000+00:00,2024-03-07 17:45:20.397000+00:00,after_check_in,36.8581232,10.3211983,2024-03-07 17:45:09.403000+00:00,10.994,0.59,193.93
79,150833943,2024-03-07 17:42:10.026000+00:00,2024-03-07 17:45:43.394000+00:00,after_check_in,36.8662659,10.3155864,2024-03-07 17:45:32.378000+00:00,11.016,1.03,337.89
80,150833943,2024-03-07 17:42:10.026000+00:00,2024-03-07 17:46:59.572000+00:00,after_check_in,36.8594833,10.2997821,2024-03-07 17:46:48.851000+00:00,10.721,1.9,637.56
81,150833943,2024-03-07 17:42:10.026000+00:00,2024-03-07 17:47:20.602000+00:00,after_check_in,36.8704879,10.3254824,2024-03-07 17:46:59.572000+00:00,21.03,2.59,443.89
82,150833943,2024-03-07 17:42:10.026000+00:00,2024-03-07 18:00:29.350000+00:00,after_check_in,36.9160911,10.3036001,2024-03-07 18:00:16.481000+00:00,12.869,1.38,385.25
83,150833784,2024-03-01 09:01:52.896000+00:00,2024-03-01 09:01:49.783000+00:00,before_check_in,36.8480994,10.264394,2024-03-01 09:01:29.469000+00:00,20.314,1.8,319.43
84,151024083,2024-03-01 13:54:23.907000+00:00,2024-03-01 13:54:24.290000+00:00,after_check_in,36.8768366,10.3073943,2024-03-01 13:54:10.712000+00:00,13.578,0.75,198.77
85,163410642,2024-03-02 09:43:16.824000+00:00,2024-03-02 10:41:59.429000+00:00,after_check_in,36.7612676,10.247345,2024-03-02 10:41:46.775000+00:00,12.654,1.76,500.32
86,150833741,2024-03-02 23:00:14.960000+00:00,2024-03-02 22:52:06.395000+00:00,before_check_in,36.8562304,10.2566654,2024-03-02 22:51:54.070000+00:00,12.325,3.34,974.2
